din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2024-01-01 00:00:00;N;NORTE;NE;NORDESTE;2699.626
2024-01-01 00:00:00;N;NORTE;SE;SUDESTE;-3760.924
2024-01-01 00:00:00;NE;NORDESTE;SE;SUDESTE;-2794.053
2024-01-01 00:00:00;SE;SUDESTE;S;SUL;-4762.211
2024-01-01 01:00:00;N;NORTE;NE;NORDESTE;2594.904
2024-01-01 01:00:00;N;NORTE;SE;SUDESTE;-3717.566
2024-01-01 01:00:00;NE;NORDESTE;SE;SUDESTE;-2783.053
2024-01-01 01:00:00;SE;SUDESTE;S;SUL;-4765.38
2024-01-01 02:00:00;N;NORTE;NE;NORDESTE;2579.92
2024-01-01 02:00:00;N;NORTE;SE;SUDESTE;-3779.421
2024-01-01 02:00:00;NE;NORDESTE;SE;SUDESTE;-2853.529
2024-01-01 02:00:00;SE;SUDESTE;S;SUL;-4894.218
2024-01-01 03:00:00;N;NORTE;NE;NORDESTE;2447.814
2024-01-01 03:00:00;N;NORTE;SE;SUDESTE;-3657.991
2024-01-01 03:00:00;NE;NORDESTE;SE;SUDESTE;-2929.844
2024-01-01 03:00:00;SE;SUDESTE;S;SUL;-5010.323
2024-01-01 04:00:00;N;NORTE;NE;NORDESTE;2365.706
2024-01-01 04:00:00;N;NORTE;SE;SUDESTE;-3611.318
2024-01-01 04:00:00;NE;NORDESTE;SE;SUDESTE;-2947.045
2024-01-01 04:00:00;SE;SUDESTE;S;SUL;-5195.29699999
2024-01-01 05:00:00;N;NORTE;NE;NORDESTE;2229.257
2024-01-01 05:00:00;N;NORTE;SE;SUDESTE;-3580.115
2024-01-01 05:00:00;NE;NORDESTE;SE;SUDESTE;-2911.838
2024-01-01 05:00:00;SE;SUDESTE;S;SUL;-4732.437
2024-01-01 06:00:00;N;NORTE;NE;NORDESTE;2131.187
2024-01-01 06:00:00;N;NORTE;SE;SUDESTE;-3406.35
2024-01-01 06:00:00;NE;NORDESTE;SE;SUDESTE;-2808.473
2024-01-01 06:00:00;SE;SUDESTE;S;SUL;-4349.155
2024-01-01 07:00:00;N;NORTE;NE;NORDESTE;1619.04
2024-01-01 07:00:00;N;NORTE;SE;SUDESTE;-2898.352
2024-01-01 07:00:00;NE;NORDESTE;SE;SUDESTE;-2175.20899999
2024-01-01 07:00:00;SE;SUDESTE;S;SUL;-3492.786
2024-01-01 08:00:00;N;NORTE;NE;NORDESTE;1261.576
2024-01-01 08:00:00;N;NORTE;SE;SUDESTE;-2307.81
2024-01-01 08:00:00;NE;NORDESTE;SE;SUDESTE;-1272.824
2024-01-01 08:00:00;SE;SUDESTE;S;SUL;-2595.044
2024-01-01 09:00:00;N;NORTE;NE;NORDESTE;645.768
2024-01-01 09:00:00;N;NORTE;SE;SUDESTE;-1433.69
2024-01-01 09:00:00;NE;NORDESTE;SE;SUDESTE;-5.928
2024-01-01 09:00:00;SE;SUDESTE;S;SUL;-339.74
2024-01-01 10:00:00;N;NORTE;NE;NORDESTE;712.731
2024-01-01 10:00:00;N;NORTE;SE;SUDESTE;-1298.205
2024-01-01 10:00:00;NE;NORDESTE;SE;SUDESTE;-299.56
2024-01-01 10:00:00;SE;SUDESTE;S;SUL;-185.616
2024-01-01 11:00:00;N;NORTE;NE;NORDESTE;536.772
2024-01-01 11:00:00;N;NORTE;SE;SUDESTE;-936.311
2024-01-01 11:00:00;NE;NORDESTE;SE;SUDESTE;-713.072
2024-01-01 11:00:00;SE;SUDESTE;S;SUL;-351.009
2024-01-01 12:00:00;N;NORTE;NE;NORDESTE;671.269
2024-01-01 12:00:00;N;NORTE;SE;SUDESTE;-1030.645
2024-01-01 12:00:00;NE;NORDESTE;SE;SUDESTE;-854.596
2024-01-01 12:00:00;SE;SUDESTE;S;SUL;-630.369
2024-01-01 13:00:00;N;NORTE;NE;NORDESTE;734.32899999
2024-01-01 13:00:00;N;NORTE;SE;SUDESTE;-1177.688
2024-01-01 13:00:00;NE;NORDESTE;SE;SUDESTE;-1043.551
2024-01-01 13:00:00;SE;SUDESTE;S;SUL;-648.583
2024-01-01 14:00:00;N;NORTE;NE;NORDESTE;824.748
2024-01-01 14:00:00;N;NORTE;SE;SUDESTE;-1000.299
2024-01-01 14:00:00;NE;NORDESTE;SE;SUDESTE;-883.055
2024-01-01 14:00:00;SE;SUDESTE;S;SUL;-462.474
2024-01-01 15:00:00;N;NORTE;NE;NORDESTE;845.066
2024-01-01 15:00:00;N;NORTE;SE;SUDESTE;-1201.486
2024-01-01 15:00:00;NE;NORDESTE;SE;SUDESTE;-1108.346
2024-01-01 15:00:00;SE;SUDESTE;S;SUL;-1599.724
2024-01-01 16:00:00;N;NORTE;NE;NORDESTE;1100.44
2024-01-01 16:00:00;N;NORTE;SE;SUDESTE;-1654.951
2024-01-01 16:00:00;NE;NORDESTE;SE;SUDESTE;-1688.127
2024-01-01 16:00:00;SE;SUDESTE;S;SUL;-4013.739
2024-01-01 17:00:00;N;NORTE;NE;NORDESTE;1811.174
2024-01-01 17:00:00;N;NORTE;SE;SUDESTE;-2204.224
2024-01-01 17:00:00;NE;NORDESTE;SE;SUDESTE;-2581.851
2024-01-01 17:00:00;SE;SUDESTE;S;SUL;-4080.795
2024-01-01 18:00:00;N;NORTE;NE;NORDESTE;2276.572
2024-01-01 18:00:00;N;NORTE;SE;SUDESTE;-2629.681
2024-01-01 18:00:00;NE;NORDESTE;SE;SUDESTE;-3110.51
2024-01-01 18:00:00;SE;SUDESTE;S;SUL;-4686.22099999
2024-01-01 19:00:00;N;NORTE;NE;NORDESTE;2878.824
2024-01-01 19:00:00;N;NORTE;SE;SUDESTE;-3424.848
2024-01-01 19:00:00;NE;NORDESTE;SE;SUDESTE;-2815.549
2024-01-01 19:00:00;SE;SUDESTE;S;SUL;-4521.804
2024-01-01 20:00:00;N;NORTE;NE;NORDESTE;3107.705
2024-01-01 20:00:00;N;NORTE;SE;SUDESTE;-3459.963
2024-01-01 20:00:00;NE;NORDESTE;SE;SUDESTE;-2541.454
2024-01-01 20:00:00;SE;SUDESTE;S;SUL;-3648.771
2024-01-01 21:00:00;N;NORTE;NE;NORDESTE;3018.905
2024-01-01 21:00:00;N;NORTE;SE;SUDESTE;-3631.262
2024-01-01 21:00:00;NE;NORDESTE;SE;SUDESTE;-2753.023
2024-01-01 21:00:00;SE;SUDESTE;S;SUL;-3807.804
2024-01-01 22:00:00;N;NORTE;NE;NORDESTE;2880.939
